EW,location,previous_day_admission_influenza_confirmed
202001,US,0.0
202003,US,0.0
202005,US,0.0
202006,US,0.0
202008,US,0.0
202009,US,0.0
202010,US,0.0
202011,US,0.0
202012,US,0.0
202013,US,0.0
202014,US,0.0
202015,US,0.0
202016,US,0.0
202017,US,0.0
202018,US,0.0
202019,US,0.0
202020,US,0.0
202021,US,0.0
202022,US,0.0
202023,US,0.0
202024,US,0.0
202025,US,0.0
202026,US,0.0
202027,US,0.0
202028,US,0.0
202029,US,0.0
202030,US,0.0
202031,US,0.0
202032,US,0.0
202033,US,0.0
202034,US,0.0
202035,US,0.0
202036,US,0.0
202037,US,0.0
202038,US,0.0
202039,US,0.0
202040,US,0.0
202041,US,0.0
202042,US,0.0
202051,US,1.0
202052,US,0.0
202053,US,5.0
202101,US,0.0
202102,US,1.0
202103,US,0.0
202104,US,1.0
202105,US,0.0
202106,US,7.0
202107,US,23.0
202108,US,0.0
202109,US,2.0
202111,US,5.0
202112,US,9.0
202113,US,0.0
202114,US,1.0
202115,US,2.0
202116,US,3.0
202117,US,1.0
202118,US,1.0
202119,US,0.0
202120,US,1.0
202121,US,2.0
202122,US,1.0
202123,US,2.0
202124,US,2.0
202125,US,0.0
202126,US,0.0
202127,US,0.0
202128,US,0.0
202129,US,1.0
202130,US,2.0
202131,US,1.0
202132,US,1.0
202133,US,0.0
202134,US,0.0
202135,US,1.0
202136,US,1.0
202137,US,3.0
202138,US,2.0
202139,US,1.0
202140,US,0.0
202141,US,0.0
202142,US,1.0
202143,US,1.0
202015,AK,0.0
202017,AK,0.0
202018,AK,0.0
202019,AK,0.0
202020,AK,0.0
202022,AK,0.0
202024,AK,0.0
202025,AK,0.0
202028,AK,0.0
202030,AK,0.0
202033,AK,0.0
202034,AK,0.0
202039,AK,0.0
202040,AK,0.0
202113,AK,0.0
202114,AK,0.0
202115,AK,1.0
202116,AK,1.0
202117,AK,1.0
202118,AK,1.0
202120,AK,1.0
202122,AK,1.0
202009,AL,0.0
202014,AL,0.0
202017,AL,0.0
202018,AL,0.0
202021,AL,0.0
202023,AL,0.0
202024,AL,0.0
202025,AL,0.0
202026,AL,0.0
202028,AL,0.0
202030,AL,0.0
202034,AL,0.0
202035,AL,0.0
202040,AL,0.0
202041,AL,0.0
202017,AR,0.0
202020,AR,0.0
202024,AR,0.0
202025,AR,0.0
202027,AR,0.0
202029,AR,0.0
202031,AR,0.0
202032,AR,0.0
202035,AR,0.0
202036,AR,0.0
202040,AR,0.0
202041,AR,0.0
202120,AR,0.0
202130,AR,2.0
202139,AS,0.0
202011,AZ,0.0
202013,AZ,0.0
202019,AZ,0.0
202025,AZ,0.0
202026,AZ,0.0
202027,AZ,0.0
202028,AZ,0.0
202030,AZ,0.0
202036,AZ,0.0
202037,AZ,0.0
202038,AZ,0.0
202042,AZ,0.0
202106,AZ,1.0
202014,CA,0.0
202015,CA,0.0
202017,CA,0.0
202018,CA,0.0
202027,CA,0.0
202031,CA,0.0
202034,CA,0.0
202036,CA,0.0
202037,CA,0.0
202038,CA,0.0
202107,CA,2.0
202015,CO,0.0
202016,CO,0.0
202025,CO,0.0
202027,CO,0.0
202028,CO,0.0
202029,CO,0.0
202030,CO,0.0
202032,CO,0.0
202033,CO,0.0
202036,CO,0.0
202038,CO,0.0
202039,CO,0.0
202107,CO,0.0
202123,CO,0.0
202124,CO,0.0
202014,CT,0.0
202016,CT,0.0
202017,CT,0.0
202020,CT,0.0
202023,CT,0.0
202025,CT,0.0
202027,CT,0.0
202028,CT,0.0
202030,CT,0.0
202032,CT,0.0
202034,CT,0.0
202035,CT,0.0
202039,CT,0.0
202040,CT,0.0
202102,CT,0.0
202114,CT,0.0
202120,CT,0.0
202125,CT,0.0
202143,CT,0.0
202018,DC,0.0
202020,DC,0.0
202024,DC,0.0
202027,DC,0.0
202032,DC,0.0
202033,DC,0.0
202034,DC,0.0
202036,DC,0.0
202040,DC,0.0
202103,DC,0.0
202112,DC,0.0
202113,DC,0.0
202126,DC,0.0
202132,DC,0.0
202140,DC,0.0
202142,DC,0.0
202143,DC,0.0
202013,DE,0.0
202014,DE,0.0
202015,DE,0.0
202017,DE,0.0
202019,DE,0.0
202023,DE,0.0
202026,DE,0.0
202027,DE,0.0
202028,DE,0.0
202033,DE,0.0
202034,DE,0.0
202035,DE,0.0
202037,DE,0.0
202042,DE,0.0
202052,DE,0.0
202103,DE,0.0
202104,DE,0.0
202112,DE,0.0
202117,DE,0.0
202120,DE,0.0
202129,DE,0.0
202131,DE,0.0
202015,FL,0.0
202022,FL,0.0
202023,FL,0.0
202024,FL,0.0
202026,FL,0.0
202029,FL,0.0
202031,FL,0.0
202036,FL,0.0
202037,FL,0.0
202038,FL,0.0
202015,GA,0.0
202016,GA,0.0
202017,GA,0.0
202020,GA,0.0
202021,GA,0.0
202028,GA,0.0
202029,GA,0.0
202030,GA,0.0
202038,GA,0.0
202039,GA,0.0
202041,GA,0.0
202106,GA,2.0
202107,GA,7.0
202006,HI,0.0
202014,HI,0.0
202017,HI,0.0
202018,HI,0.0
202019,HI,0.0
202020,HI,0.0
202024,HI,0.0
202030,HI,0.0
202036,HI,0.0
202039,HI,0.0
202041,HI,0.0
202101,HI,0.0
202102,HI,0.0
202113,HI,0.0
202114,HI,0.0
202115,HI,0.0
202116,HI,0.0
202119,HI,0.0
202122,HI,0.0
202123,HI,0.0
202125,HI,0.0
202127,HI,0.0
202128,HI,0.0
202129,HI,0.0
202142,HI,0.0
202013,IA,0.0
202014,IA,0.0
202017,IA,0.0
202018,IA,0.0
202022,IA,0.0
202024,IA,0.0
202031,IA,0.0
202032,IA,0.0
202033,IA,0.0
202035,IA,0.0
202036,IA,0.0
202041,IA,0.0
202042,IA,0.0
202104,IA,1.0
202112,IA,8.0
202113,IA,0.0
202115,IA,1.0
202118,IA,0.0
202119,IA,0.0
202142,IA,0.0
202016,ID,0.0
202020,ID,0.0
202027,ID,0.0
202031,ID,0.0
202033,ID,0.0
202036,ID,0.0
202037,ID,0.0
202038,ID,0.0
202039,ID,0.0
202040,ID,0.0
202041,ID,0.0
202042,ID,0.0
202102,ID,0.0
202104,ID,0.0
202105,ID,0.0
202113,ID,0.0
202114,ID,1.0
202115,ID,0.0
202116,ID,0.0
202117,ID,0.0
